url,name,price,rating,number_of_reviews
/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,2299,4.5,7727
/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,689,3.9,3843
/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",639,4.1,6654
/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/,Gear Classic 20L Small Faux Leather Water Resistant Anti Theft Laptop Bag/Office Backpack for Men/Women - Brown,798,4.4,6239
/Half-Moon-Resistant-Backpack-Compartment/dp/B0BHX7GY16/,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,689,3.9,3843
/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/,ADISA Laptop Backpack 31 Ltrs,349,4.0,9231
/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/,ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,399,3.9,1397
/Step-Backpack-Small-Water-Repellant/dp/B088XG77KN/,"Mi Step Out 12 L Mini Backpack (Small Size, Red, Water Repellant)",229,4.1,10270
/Impulse-Diggy-Backpack-Resistant-Green/dp/B0CJHVCZZV/,Impulse Diggy 35L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,399,4.1,21
/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3S5NC1/,NORTH ZONE Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,540,4.0,1116
/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/,American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Black,1399,4.3,1342
/TRUE-HUMAN-EMPEROR%C2%AEMulti-purpose-backpack-charging/dp/B0CCLKZ21R/,"TRUE HUMAN EMPEROR®Multi-purpose backpack With USB charging Port Laptop,office,college,travel bag for men and women (WIZ)",499,3.9,7
/Arctic-Fox-Backpack-Charging-Laptop/dp/B089QBD333/,Arctic Fox Slope Anti Theft 23 L Backpack with USB Charging Port 15 Inch Laptop Backpack (Marble Black),1299,4.5,4528
/TRUE-Emperor-Anti-Theft-backpack-charging/dp/B0BYB631NR/,"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)",499,3.7,461
/POLE-STAR-Polyester-Backpack-Compartment/dp/B07D6NXR2Q/,"POLESTAR Amaze 15.6 inch 30 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",549,4.0,6169
/Half-Moon-College-Spacious-Multiple/dp/B0C23Z9W18/,Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,529,3.5,353
/Impulse-Diggy-Backpack-Business-Resistant/dp/B0CJHV6RTS/,Impulse Diggy 35L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,399,4.1,21
/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/,American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Blue,999,4.2,921
/ADISA-Casual-Backpack-College-BP046-NAV_Navy/dp/B0BX3QFVSM/,ADISA 31 Ltrs Casual Backpack School College Bag Pack,349,3.9,351
/NORTH-ZONE-Restant-Office-Backpack/dp/B0CJ38KTFS/,NORTH ZONE 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),449,4.6,3
/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BZW8KW18/,LOOKMUSTER (15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,429,3.5,144
/Lenovo-Comfortable-Dedicated-Compartment-4X41C94115/dp/B09QCYXZ1H/,"Lenovo 16-inch Value Lite Backpack, Comfortable, Padded Back Panel, Slim and Sleek, Dedicated Laptop Compartment, Padded Shoulder Straps for Optimal Comfort and Ergonomic Support (4X41C94115)",649,4.6,24
/ROZEN-partition-Collage-Backpack-SKYBLUE/dp/B0BRTFGG22/,"ROZEN 47 Ltrs, 46 cms School Bag Class 5-12 Large 5 partition Laptop Collage Office Travel Backpack Unisex",697,4.1,344
/American-Tourister-Polycarbonate-FS3-004/dp/B084W559G8/,"American Tourister Georgia 3 Pc Set 55 cms + 69 cms+ 79 cms- Small, Medium & Large Polycarbonate (PC) Hard Sided 4 Spinner Wheels Trolley Bags (Midnight Blue)",9999,4.0,3603
/Amazon-Basics-Casual-Backpack-15-6-inch/dp/B09W4WJ1CB/,Amazon Basics 20 ltrs Casual/Travel/College Backpack for 15.6-inch Laptop | Water Resistant Fabric,359,4.0,419
/ADISA-Laptop-Backpack-Office-College/dp/B0BPVCBFM7/,ADISA 32L large laptop backpack office bag college travel back pack with rain cover,549,3.8,436
